ID	Provider	2019-01-Steps	2019-02-Steps	2019-03-Steps	2019-04-Steps	2019-05-Steps	2019-06-Steps	2019-07-Steps	2019-08-Steps	2019-09-Steps	2019-10-Steps	2019-11-Steps	2019-12-Steps	2020-01-Steps	2020-02-Steps	2020-03-Steps	2020-04-Steps	2020-05-Steps	2020-06-Steps	2020-07-Steps	2020-08-Steps	2020-09-Steps	2020-10-Steps	2020-11-Steps	2020-12-Steps	2020-03-01-Steps	2020-03-13-Steps	2019-Steps	2020-Steps	2019-01-Mvpa	2019-02-Mvpa	2019-03-Mvpa	2019-04-Mvpa	2019-05-Mvpa	2019-06-Mvpa	2019-07-Mvpa	2019-08-Mvpa	2019-09-Mvpa	2019-10-Mvpa	2019-11-Mvpa	2019-12-Mvpa	2020-01-Mvpa	2020-02-Mvpa	2020-03-Mvpa	2020-04-Mvpa	2020-05-Mvpa	2020-06-Mvpa	2020-07-Mvpa	2020-08-Mvpa	2020-09-Mvpa	2020-10-Mvpa	2020-11-Mvpa	2020-12-Mvpa	2020-03-01-Mvpa	2020-03-13-Mvpa	2019-Mvpa	2020-Mvpa	2019-01-TEE	2019-02-TEE	2019-03-TEE	2019-04-TEE	2019-05-TEE	2019-06-TEE	2019-07-TEE	2019-08-TEE	2019-09-TEE	2019-10-TEE	2019-11-TEE	2019-12-TEE	2020-01-TEE	2020-02-TEE	2020-03-TEE	2020-04-TEE	2020-05-TEE	2020-06-TEE	2020-07-TEE	2020-08-TEE	2020-09-TEE	2020-10-TEE	2020-11-TEE	2020-12-TEE	2020-03-01-TEE	2020-03-13-TEE	2019-TEE	2020-TEE	2019-01-AEE	2019-02-AEE	2019-03-AEE	2019-04-AEE	2019-05-AEE	2019-06-AEE	2019-07-AEE	2019-08-AEE	2019-09-AEE	2019-10-AEE	2019-11-AEE	2019-12-AEE	2020-01-AEE	2020-02-AEE	2020-03-AEE	2020-04-AEE	2020-05-AEE	2020-06-AEE	2020-07-AEE	2020-08-AEE	2020-09-AEE	2020-10-AEE	2020-11-AEE	2020-12-AEE	2020-03-01-AEE	2020-03-13-AEE	2019-AEE	2020-AEE	2019-01-LPA	2019-02-LPA	2019-03-LPA	2019-04-LPA	2019-05-LPA	2019-06-LPA	2019-07-LPA	2019-08-LPA	2019-09-LPA	2019-10-LPA	2019-11-LPA	2019-12-LPA	2020-01-LPA	2020-02-LPA	2020-03-LPA	2020-04-LPA	2020-05-LPA	2020-06-LPA	2020-07-LPA	2020-08-LPA	2020-09-LPA	2020-10-LPA	2020-11-LPA	2020-12-LPA	2020-03-01-LPA	2020-03-13-LPA	2019-LPA	2020-LPA	2019-01-MPA	2019-02-MPA	2019-03-MPA	2019-04-MPA	2019-05-MPA	2019-06-MPA	2019-07-MPA	2019-08-MPA	2019-09-MPA	2019-10-MPA	2019-11-MPA	2019-12-MPA	2020-01-MPA	2020-02-MPA	2020-03-MPA	2020-04-MPA	2020-05-MPA	2020-06-MPA	2020-07-MPA	2020-08-MPA	2020-09-MPA	2020-10-MPA	2020-11-MPA	2020-12-MPA	2020-03-01-MPA	2020-03-13-MPA	2019-MPA	2020-MPA	2019-01-VPA	2019-02-VPA	2019-03-VPA	2019-04-VPA	2019-05-VPA	2019-06-VPA	2019-07-VPA	2019-08-VPA	2019-09-VPA	2019-10-VPA	2019-11-VPA	2019-12-VPA	2020-01-VPA	2020-02-VPA	2020-03-VPA	2020-04-VPA	2020-05-VPA	2020-06-VPA	2020-07-VPA	2020-08-VPA	2020-09-VPA	2020-10-VPA	2020-11-VPA	2020-12-VPA	2020-03-01-VPA	2020-03-13-VPA	2019-VPA	2020-VPA	2019-01-SED	2019-02-SED	2019-03-SED	2019-04-SED	2019-05-SED	2019-06-SED	2019-07-SED	2019-08-SED	2019-09-SED	2019-10-SED	2019-11-SED	2019-12-SED	2020-01-SED	2020-02-SED	2020-03-SED	2020-04-SED	2020-05-SED	2020-06-SED	2020-07-SED	2020-08-SED	2020-09-SED	2020-10-SED	2020-11-SED	2020-12-SED	2020-03-01-SED	2020-03-13-SED	2019-SED	2020-SED
14	Garmin	5632	6063	8093	9396	7206	8620	10448	7151	8341	8344	6431	6613	7982	9859	9017	7424	7057	7690	8123	9846	9382	6886	5895	9311	10410	8138	7703	8166	7	9	19	36	10	23	38	14	19	21	5	9	21	31	35	29	20	21	30	34	30	17	10	24	30	38	17	25	2395	2361	2571	2607	2387	2542	2718	2515	2583	2536	2440	2469	2626	2550	2495	2378	2373	2357	2362	2489	2372	2258	2225	2433	2611	2422	2511	2409	566	496	709	755	543	714	841	593	701	656	553	573	719	689	664	566	566	564	580	690	601	480	451	643	769	597	642	600	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	3	6	8	2	3	5	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	16	11	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15	Fitbit	6203	5760	7410	6820	8081	6628	6016	7279	6980	5952	6827	5708	5337	6127	4725	4659	5220	5574	6579	6264	6738	6150	5237	4703	5588	3863	6628	5624	11	13	30	25	30	13	13	34	21	12	15	6	13	18	14	10	8	11	17	17	24	19	14	3	15	13	18	14	2063	2075	2213	2174	2227	2075	2054	2166	2121	2071	2126	2061	2058	2094	1981	1980	2058	2077	2148	2049	2203	2083	2032	1980	2049	1913	2118	2063	777	766	943	912	968	793	771	881	836	767	830	733	743	781	624	627	713	717	832	683	911	753	679	636	718	529	830	727	205	94	66	56	47	35	30	20	23	21	19	17	15	13	8	11	11	10	11	8	10	8	7	8	5	3	205	92	3	2	2	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	8	4	7	4	4	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	801	338	238	188	144	129	110	76	81	80	67	64	57	52	42	47	43	42	39	38	33	35	31	32	20	21	735	369
16	Fitbit	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9399	8845	8792	9054	7502	8013	8583	7563	8060	8382	825	8247	7562	6399	7061	6732	6280	8328	7080	8569	7480	NULL	NULL	NULL	NULL	NULL	NULL	NULL	35	36	29	33	23	32	30	29	29	32	34	17	20	18	25	27	24	33	26	30	25	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2075	2054	2093	2102	1999	2047	2052	2032	2047	2071	1754	2043	1987	1920	2035	1975	1962	2108	1984	2062	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL	889	853	880	891	775	824	834	812	823	858	329	858	772	675	803	741	716	895	760	851	789	NULL	NULL	NULL	NULL	NULL	NULL	NULL	203	164	97	63	46	36	29	27	24	19	0	22	18	14	15	12	11	12	16	194	139	NULL	NULL	NULL	NULL	NULL	NULL	NULL	13	12	6	4	2	2	1	1	1	1	0	1	0	0	1	0	0	0	1	13	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	22	19	7	6	2	3	2	2	1	1	0	0	0	0	0	1	0	1	1	17	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	709	607	323	216	166	139	101	96	76	67	8	62	62	54	56	46	44	41	59	683	489
17	Garmin	8731	7851	8627	9260	11455	9292	12611	10969	11994	7168	13458	11745	11075	7307	8122	6797	10043	8040	8091	9835	8149	5814	8756	9845	9071	7522	10275	8736	46	13	52	64	77	58	82	67	79	45	97	72	65	49	46	42	61	47	60	69	61	40	49	64	56	39	63	55	2678	2470	2631	2558	2638	2518	2692	2642	2633	2450	2639	2733	2693	2527	2649	2436	2651	2672	2633	2638	2629	2472	2521	2589	2680	2629	2608	2601	507	303	496	423	503	383	557	507	498	312	533	598	565	399	521	308	523	555	517	522	514	356	405	473	552	501	470	480	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	10	0	6	9	8	5	4	3	5	2	5	1	2	3	2	2	1	1	2	1	0	0	1	1	1	1	29	15	36	5	12	6	7	3	7	5	3	2	3	4	2	NULL	0	0	1	1	0	1	1	0	1	1	NULL	0	34	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
18	Garmin	10051	11443	13617	19082	11303	14776	17768	14903	11951	13906	12712	15454	11542	9539	8005	10218	10616	10496	12088	8913	8793	9960	9300	10360	8648	7599	13927	9974	60	80	94	173	77	106	146	116	80	99	92	129	98	80	80	93	88	82	113	77	66	80	66	85	70	86	104	84	2470	2448	2656	2770	2658	2839	2713	2709	2686	2636	2562	2506	2667	2723	2631	2676	2576	2751	2526	2581	2545	2563	2594	2328	2713	2579	2638	2596	488	452	655	770	669	844	722	718	695	645	567	481	605	678	647	633	533	708	504	574	495	511	542	425	670	632	643	571	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	52	34	31	43	15	17	21	14	8	10	8	10	6	3	2	2	3	2	5	2	2	3	2	3	0	1	103	30	8	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	2	3	2	1	1	0	1	0	0	NULL	NULL	1	2	1	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
19	Garmin	NULL	NULL	NULL	NULL	20538	19995	20833	20372	20415	19993	21854	17102	17728	18907	18647	17195	18867	17704	18492	19162	19282	20522	20538	21617	15183	20835	20119	18982	NULL	NULL	NULL	NULL	29	16	29	30	24	110	88	9	22	36	39	166	127	59	79	51	67	52	24	21	37	40	42	63	NULL	NULL	NULL	NULL	3202	3009	3063	2997	2901	2756	2784	2746	2961	3199	3224	2622	2863	3210	3208	3074	3201	3083	3033	3175	3148	3272	2924	3065	NULL	NULL	NULL	NULL	1176	987	1042	975	879	731	762	724	945	1183	1208	606	847	1221	1192	1058	1185	1064	1017	1159	1132	1256	902	1051	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	21	4	6	4	2	18	12	0	1	2	2	13	9	2	3	2	2	1	0	0	0	1	34	29	NULL	NULL	NULL	NULL	8	4	4	4	2	0	0	0	0	0	1	0	0	1	2	1	1	1	0	0	0	0	8	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
20	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8224	7504	7775	11678	11834	13498	13782	10089	9576	9022	8686	8518	8247	7461	NULL	10082	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	31	32	53	71	58	80	89	58	43	42	42	39	54	52	NULL	54	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2572	2550	2758	2868	2808	2870	2899	2640	2589	2559	2566	2565	2832	2709	NULL	2691	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	472	470	676	784	745	824	868	616	559	521	528	511	751	626	NULL	636	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	2	3	2	0	2	2	1	0	0	0	0	1	2	NULL	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	28	15	15	15	12	11	10	6	4	3	3	2	8	9	NULL	46	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
21	Garmin	8086	11840	12733	11286	12123	13383	14862	11203	8597	9914	12642	9254	10108	11773	9342	12027	13299	13830	10378	8623	14054	13299	11852	12945	9100	9495	11321	11769	109	41	47	59	32	56	67	65	48	42	56	63	118	63	38	47	57	83	24	40	206	95	69	73	37	39	57	76	3191	2732	2827	2827	2697	2862	2955	2827	2661	2683	2836	2879	3612	3047	2758	2746	2879	3085	2608	2696	3092	3005	2906	2895	2687	2802	2833	2944	1172	666	747	747	617	800	912	784	618	640	793	836	1543	973	707	697	830	1036	562	644	1064	980	886	882	634	753	779	900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	26	2	1	1	1	1	1	1	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	9	6	83	17	15	13	5	7	8	6	4	3	4	4	7	3	2	2	3	3	0	1	8	2	2	2	0	1	48	31	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
22	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	14487	12720	15389	14105	15340	9633	13215	NULL	NULL	NULL	13531	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	55	35	48	56	58	22	38	NULL	NULL	NULL	44	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2657	2592	2844	2788	2927	2503	2671	NULL	NULL	NULL	2716	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	540	477	712	656	795	371	539	NULL	NULL	NULL	588	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6	3	1	4	0	0	0	NULL	NULL	NULL	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	49	17	16	10	11	3	4	NULL	NULL	NULL	38	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
23	Fitbit	9622	8704	8224	12106	10756	13696	12018	12783	8794	11106	10786	8532	14084	11717	11803	13209	12753	13681	13188	13451	12270	12539	12224	10799	12795	11177	10608	12646	39	29	31	48	44	71	57	66	39	53	51	28	81	64	78	91	68	83	71	80	73	82	77	60	80	76	46	76	2344	2295	2294	2471	2365	2587	2488	2512	2272	2378	2391	2234	2553	2420	2375	2518	2441	2530	2504	2514	2357	2389	2380	2306	2480	2308	2386	2441	1049	996	993	1237	1094	1384	1261	1277	1005	1130	1153	973	1318	1178	1123	1277	1197	1304	1304	1288	1081	1117	1093	1021	1261	1036	1130	1192	226	108	76	65	46	42	36	29	23	22	21	19	16	14	11	11	12	11	13	10	7	7	6	7	5	6	234	96	11	4	3	4	2	3	2	2	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	14	7	28	9	7	8	6	8	5	6	3	3	2	1	5	3	4	4	3	3	2	3	2	3	2	1	1	2	32	30	780	384	265	187	160	127	100	100	84	71	66	62	60	50	47	42	43	41	36	36	37	33	33	33	18	29	755	368
24	Garmin	5447	4956	5464	6339	5837	8524	10789	11177	10664	7821	5463	6720	8046	8549	4497	5061	5018	7185	6347	8423	10305	7695	6384	8351	5272	4007	7463	7161	88	94	126	170	123	79	138	132	124	95	99	121	92	84	74	105	104	118	79	98	107	67	59	70	88	65	116	88	3108	2990	3145	3402	3240	2938	3105	3049	3035	2891	2991	3311	3248	3217	3027	3004	2961	3003	2645	2867	2966	2757	2610	2689	3176	2933	3103	2921	1020	945	1080	1337	1175	873	1040	993	970	826	926	1258	1189	1155	968	945	902	944	643	849	932	728	576	646	1117	874	1039	878	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	32	13	13	11	6	4	8	7	6	3	1	2	2	1	0	1	3	2	1	1	2	0	0	1	0	0	38	14	56	30	31	31	19	9	12	9	7	5	7	8	5	4	4	4	3	3	2	3	2	2	1	1	1	2	78	29	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
25	Garmin	6752	7777	8907	11312	10607	10882	12652	11754	13176	14475	13248	12476	12085	8903	9735	9987	10767	10637	11695	13022	12401	9682	10591	9848	11428	8666	11185	10799	16	25	28	33	40	41	51	39	37	47	42	47	43	27	44	48	54	64	55	63	60	43	54	51	41	46	37	51	2162	2212	2350	2448	2438	2429	2506	2463	2487	2595	2487	2706	2756	2559	2654	2425	2490	2600	2521	2610	2528	2391	2456	2462	2785	2571	2442	2539	316	359	450	548	538	529	606	532	559	671	569	786	842	645	740	511	576	687	609	698	616	492	562	568	871	657	540	630	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5	3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	10	8	8	7	6	6	6	4	3	4	3	3	2	1	2	2	2	3	2	2	2	1	2	1	0	1	31	22	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
26	Garmin	15502	13105	13028	15783	15152	13986	16812	16496	17393	16854	17400	15590	17580	17930	18509	19568	21654	18952	20690	19870	23187	14618	12911	14632	18380	18590	15606	18368	41	34	28	15	17	12	32	32	27	41	35	21	45	48	49	54	57	46	79	76	82	44	49	37	65	38	28	56	3521	3090	2917	2811	2809	2646	2951	2965	3035	3183	3168	3052	3397	3534	3430	3640	3766	3404	3758	3708	3923	3207	3237	3092	3626	3306	3013	3511	1465	1043	870	764	762	599	904	918	988	1136	1121	1005	1356	1493	1360	1558	1684	1324	1715	1665	1890	1161	1194	1049	1575	1224	965	1457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	23	1	1	1	0	0	2	1	1	1	0	0	0	1	1	0	0	0	1	1	2	0	0	0	0	0	10	9	18	14	8	1	3	1	1	2	1	2	2	1	2	2	2	2	2	1	2	2	1	1	1	1	1	1	18	18	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
27	Fitbit	10487	12033	11386	11152	11727	11896	13600	11083	11333	9796	11747	12520	12197	13171	11392	9472	9792	10803	14335	11710	10261	9880	9184	10168	12305	10816	11560	11031	83	109	97	86	79	93	108	99	58	48	66	72	59	83	87	65	82	80	148	94	71	69	46	58	94	83	83	79	3292	3483	3370	3412	3403	3522	3718	3500	3235	3098	3283	3329	3336	3319	3294	3126	3336	3353	3900	3458	3308	3263	3059	3082	3416	3218	3386	3321	1791	2030	1909	1979	1943	2099	2369	2080	1753	1610	1813	1884	1864	1848	1842	1649	1908	1909	2631	2056	1869	1816	1570	1612	1978	1757	1938	1883	278	134	95	78	65	53	51	40	33	30	27	26	26	19	19	17	18	17	19	16	15	14	12	12	8	11	307	155	47	28	17	12	9	9	8	8	3	3	2	3	2	2	3	1	3	2	5	2	2	2	1	1	1	1	47	22	36	23	15	8	6	6	7	4	2	1	3	3	2	3	2	2	1	1	2	1	1	0	0	1	1	1	36	17	732	319	251	163	137	106	88	82	77	75	62	60	55	48	48	44	39	37	29	34	33	31	31	31	18	30	683	345
28	Fitbit	5343	6293	5551	6207	4857	4939	7461	5637	5930	5250	4320	2859	4978	4982	6520	7553	6659	6798	8200	7730	7502	7261	6629	5567	5662	7062	5380	6703	21	29	34	34	16	21	43	19	16	18	6	1	16	26	41	50	36	45	42	38	32	31	20	25	27	50	21	33	2007	2057	2040	2071	1942	1976	2104	1964	2013	2015	1889	1792	1915	1929	1934	1963	1928	2003	2000	2013	2014	2004	1993	1932	1974	1909	1988	1969	740	795	770	803	639	681	841	679	714	718	575	441	599	629	642	689	665	760	774	774	800	789	787	702	673	623	699	717	182	87	58	44	34	27	25	21	20	18	14	10	11	9	7	6	8	8	8	8	8	8	8	7	3	3	169	77	11	5	6	4	1	1	2	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	10	5	10	8	5	3	1	1	3	1	0	0	0	0	0	1	2	2	1	1	1	1	1	0	0	0	0	1	11	11	754	329	222	188	159	123	103	95	83	74	68	64	59	50	50	44	44	40	37	37	32	33	31	30	20	30	735	364
29	Fitbit	7476	7351	8829	8487	8953	7627	8211	6949	7097	7122	NULL	NULL	7910	8902	8817	8573	8507	8692	6565	11203	10817	8773	6107	NULL	8293	9202	7855	8905	30	22	49	48	34	22	21	27	21	22	NULL	NULL	47	37	52	44	45	42	24	77	71	55	38	NULL	42	59	30	50	3081	3006	3082	3102	3041	2936	3026	2968	2888	2912	NULL	NULL	2785	2885	2778	2751	2861	2804	2688	2958	2915	2700	2388	NULL	2809	2754	3009	2801	991	881	1390	1426	1368	990	705	1149	899	1086	NULL	NULL	1171	1317	1180	1167	1330	1306	1135	1451	1427	1182	786	NULL	1229	1144	1102	1262	141	58	73	59	51	18	18	26	17	20	NULL	NULL	4	14	13	13	18	17	12	13	10	10	1	NULL	7	7	178	99	6	2	5	4	2	0	1	1	1	0	NULL	NULL	0	0	0	0	1	1	0	1	1	0	0	NULL	0	0	10	7	23	7	12	8	4	1	2	2	1	1	NULL	NULL	0	1	3	2	2	1	0	3	2	2	0	NULL	1	2	19	17	1264	535	436	322	248	134	208	163	139	109	NULL	NULL	25	75	98	83	93	85	66	78	57	69	19	NULL	43	57	1209	570
30	Fitbit	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5664	6483	7096	8930	9623	9926	11189	7967	8896	9553	7567	7628	8307	6332	NULL	8490	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6	7	18	30	20	17	25	9	16	18	17	24	21	16	NULL	18	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1696	1726	1711	1818	1916	1928	2066	1801	1853	1886	1770	1765	1739	1694	NULL	1834	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	665	739	707	845	985	998	1183	835	898	944	781	769	732	692	NULL	871	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	253	180	98	76	76	61	61	40	36	34	24	22	48	62	NULL	301	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	1	3	3	2	1	2	0	1	1	0	0	1	2	NULL	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	3	3	4	2	1	1	0	0	0	0	1	3	1	NULL	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	684	409	262	180	127	103	85	82	69	68	62	58	126	167	NULL	624
31	Garmin	9099	9724	9186	10202	11233	11989	13265	12308	10676	10789	9795	9673	9055	9671	9795	11858	12087	12072	14558	14570	12427	12819	12778	10670	9234	10149	10669	11816	8	10	7	23	18	19	42	40	17	9	16	14	9	16	22	31	26	29	42	51	23	22	27	20	21	23	19	26	2477	2499	2406	2488	2468	2514	2670	2530	2478	2472	2447	2362	2271	2385	2332	2438	2487	2480	2597	2552	2281	2292	2313	2190	2354	2319	2484	2385	779	804	711	793	773	819	975	835	783	777	752	651	579	690	638	749	798	791	909	876	581	589	612	489	659	625	787	692	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	6	2	1	4	3	2	3	3	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	13	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
32	Garmin	NULL	NULL	NULL	NULL	11035	7756	9059	8686	11142	9190	9325	9813	11317	13506	11619	13621	14312	12846	14502	13556	12934	10676	11933	11888	12204	11250	9349	12749	NULL	NULL	NULL	NULL	33	17	25	26	33	23	27	29	38	47	41	54	51	30	50	56	43	32	40	26	36	44	26	43	NULL	NULL	NULL	NULL	2941	2635	2836	2877	3042	2842	2905	2844	2983	3103	2974	3307	3191	2947	3148	3208	3120	3069	3100	2950	2958	2985	2857	3096	NULL	NULL	NULL	NULL	780	440	640	678	843	643	706	645	790	910	784	1118	1035	791	992	1052	964	913	944	794	765	797	660	928	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	NULL	NULL	NULL	NULL	28	9	9	6	6	4	3	3	4	4	3	4	3	2	3	3	2	1	1	0	1	2	22	22	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
